"","X","Property.Name","Price","House.Type","Area.in.sq.ft","No..of.Bedrooms","No..of.Bathrooms","No..of.Receptions","Location","City.County","Postal.Code"
"2727",2726,"Ascensis Tower",2880000,"Flat / Apartment",1945,3,3,3," Battesea","London","SW18 1AY"
"2728",2727,"Goldings Rise",992000,"House",1285,3,3,3,"Loughton","Essex","IG10 2QP"
"2729",2728,"Oakley Square",4800000,"House",4847,6,6,6,"Camden","London","NW1 1NJ"
"2730",2729,"Liverpool Road",960000,"Flat / Apartment",880,2,2,2,"Lower Holloway","London","N7 8PG"
"2731",2730,"Jasmine House",640000,"Flat / Apartment",680,2,2,2," Battersea","London","SW18 1GJ"
"2732",2731,"Admiral Court",2048000,"Flat / Apartment",1282,2,2,2," Chelsea Harbour","London","SW10 0UU"
"2733",2732,"Seward Street",896000,"Flat / Apartment",836,2,2,2,"Clerkenwell","London","EC1V 3PA"
"2734",2733,"Shirland Road",998400,"Flat / Apartment",767,2,2,2,"Maida Vale","London","W9 2EQ"
"2735",2734,"Graham Terrace",3520000,"House",1782,4,4,4,"Belgravia","London","SW1W 8JE"
"2736",2735,"Lexham Gardens",844800,"Flat / Apartment",603,1,1,1,"","London","W8 6JE"
"2737",2736,"Mandrake Road",1529600,"House",1602,5,5,5,"","London","SW17 7PT"
"2738",2737,"Inglethorpe Street",2174720,"House",1993,5,5,5,"Fulham","London","SW6 6NX"
"2739",2738,"Cedarside Apartments",1024000,"Flat / Apartment",937,2,2,2,"3 Albert Road","Queens Park","NW6 5FT"
"2740",2739,"Blandfield Road",1600000,"House",1450,3,3,3,"","London","SW12 8BG"
"2741",2740,"Densham House",1024000,"Flat / Apartment",945,3,3,3," St. John's Wood","London","NW8 7NT"
"2742",2741,"Gorst Road",2880000,"House",2351,5,5,5,"","London","SW11 6JE"
"2743",2742,"Horizons Tower",1600000,"Flat / Apartment",1203,2,2,2," Canary Wharf","London","E14 9RG"
"2744",2743,"Thirlmere Road",2400000,"House",3478,7,7,7,"","London","SW16 1QW"
"2745",2744,"Greenford Avenue",1600000,"House",2804,5,5,5,"Hanwell","London","W7 3QS"
"2746",2745,"Stokenchurch Street",3520000,"House",2605,6,6,6," Fulham","London","SW6 3TR"
"2747",2746,"Winfrith Road",704000,"Flat / Apartment",896,2,2,2,"","London","SW18 3BD"
"2748",2747,"Great Titchfield Street",953600,"Flat / Apartment",703,2,2,2,"Fitzrovia","London","W1W 6RR"
"2749",2748,"Dorland Court",672000,"Flat / Apartment",654,2,2,2," Putney","London","SW15 2UG"
"2750",2749,"Canaletto Tower",1472000,"Flat / Apartment",882,2,2,2,"257 City Road","London","EC1V 1AE"
"2751",2750,"Macfarlane Road",3200000,"House",2861,5,5,5,"","London","W12 7JY"
"2752",2751,"Forest Close",1023998.72,"House",2156,4,4,4,"Waltham Abbey","Essex","EN9 3QR"
"2753",2752,"Elsworthy Rise",1344000,"New development",612,1,1,1,"Primrose Hill","London","NW3 3DS"
"2754",2753,"Bickenhall Street",3712000,"Penthouse",1455,2,2,2,"Marylebone","London","W1U 6BN"
"2755",2754,"Upper Wimpole Street",15296000,"House",7226,5,5,5,"Marylebone","London","W1G 6LU"
"2756",2755,"Sandown Avenue",4800000,"House",5554,6,6,6,"Esher","Surrey","KT10 9NT"
"2757",2756,"Leopold Court",1088000,"Flat / Apartment",1344,2,2,2," Esher","Surrey","KT10 9BW"
"2758",2757,"Streathbourne Road",2528000,"House",2910,7,7,7,"","London","SW17 8QY"
"2759",2758,"Fairfax Road",3584000,"House",2959,5,5,5," Chiswick","London","W4 1EW"
"2760",2759,"Cranley Gardens",1792000,"Flat / Apartment",732,2,2,2,"South Kensington","London","SW7 3BD"
"2761",2760,"White Hart Lane",928000,"Flat / Apartment",1242,2,2,2,"Barnes","London","SW13 0PZ"
"2762",2761,"Chenies Mews",2560000,"Flat / Apartment",1335,2,2,2,"","London","WC1E 6HU"
"2763",2762,"Overstrand Mansions",1088000,"Flat / Apartment",838,2,2,2,"Prince of Wales Drive","London","SW11 4HA"
"2764",2763,"Tottenham Road",326400,"Flat / Apartment",440,1,1,1,"De Beauvoir","London","N1 4EP"
"2765",2764,"Englewood Road",1017600,"Flat / Apartment",919,2,2,2,"","London","SW12 9NZ"
"2766",2765,"Hollen Street",1920000,"New development",843,1,1,1,"Soho","London","W1F 8AZ"
"2767",2766,"One Kensington Gardens",7616000,"Penthouse",1993,3,3,3,"4 De Vere Gardens","London","W8 5AE"
"2768",2767,"Courtnell Street",4160000,"House",1813,3,3,3,"","London","W2 5BX"
"2769",2768,"Chi Building",704000,"Flat / Apartment",893,2,2,2,"54 Crowder Street","London","E1 0EZ"
"2770",2769,"Patshull Road",640000,"Flat / Apartment",418,1,1,1,"Kentish Town","London","NW5 2JY"
"2771",2770,"Ernle Road",3776000,"House",3601,6,6,6,"Wimbledon","London","SW20 0HJ"
"2772",2771,"Vanderbilt Road",1452800,"House",1675,4,4,4," Wandsworth","London","SW18 3BG"
"2773",2772,"Potter Street",992000,"House",1469,4,4,4,"Northwood","Middlesex","HA6 1QH"
"2774",2773,"Freegrove Road",2303360,"House",2761,6,6,6,"Holloway","London","N7 9RG"
"2775",2774,"Dalston Lane",832000,"Flat / Apartment",1018,2,2,2,"Hackney","London","E8 1LX"
"2776",2775,"Wild Hatch",3008000,"House",2835,4,4,4,"Hampstead Garden Suburb","London","NW11 7LD"
"2777",2776,"Earl's Court Square",1017600,"Flat / Apartment",666,2,2,2,"","London","SW5 9DG"
"2778",2777,"Keepier Wharf",2432000,"Flat / Apartment",1963,4,4,4," Limehouse","London","E14 8DH"
"2779",2778,"Cambridge Road",2496000,"House",1907,5,5,5,"Barnes","London","SW13 0PG"
"2780",2779,"Soval Court",1216000,"Flat / Apartment",1580,3,3,3," Northwood","Middlesex","HA6 2FS"
"2781",2780,"Palace Gate",2368000,"Flat / Apartment",1332,2,2,2,"","London","W8 5LY"
"2782",2781,"Academy Gardens",6336000,"New development",2011,2,2,2,"Duchess of Bedfords Walk","London","W8 7QQ"
"2783",2782,"Church Street",3436800,"House",3873,6,6,6,"Hampton","Middlesex","TW12 2EG"
"2784",2783,"Nutley Terrace",5113600,"House",3480,3,3,3,"Hampstead","London","NW3 5BX"
"2785",2784,"St. Edmunds Terrace",8928000,"Flat / Apartment",2583,3,3,3,"St John's Wood","London","NW8 7ED"
"2786",2785,"Dunstable Mews",2880000,"House",1269,2,2,2,"Marylebone","London","W1G 6BT"
"2787",2786,"Elm Grove Road",3321600,"House",3100,5,5,5,"Barnes","London","SW13 0BX"
"2788",2787,"Abbotts Close",832000,"Flat / Apartment",767,2,2,2," Islington","London","N1 2HJ"
"2789",2788,"Carmichael Court",876800,"Flat / Apartment",783,3,3,3," Barnes","London","SW13 0HA"
"2790",2789,"Pont Street",24896000,"Flat / Apartment",4699,5,5,5,"","London","SW1X 0AD"
"2791",2790,"Crescent Road",2112000,"House",2809,4,4,4,"Kingston upon Thames","Surrey","KT2 7RF"
"2792",2791,"Mint Street",768000,"Flat / Apartment",1026,3,3,3,"Bethnal Green","London","E2 6FX"
"2793",2792,"Amhurst Road",659200,"Flat / Apartment",518,1,1,1,"Hackney","London","E8 1JH"
"2794",2793,"Calico Apartments",895936,"Flat / Apartment",743,2,2,2,"18A Varden Street","London","E1 2AR"
"2795",2794,"College Court",960000,"Flat / Apartment",1072,4,4,4,"Queen Caroline Street","London","W6 9DY"
"2796",2795,"Battersea Park Road",767936,"Flat / Apartment",657,2,2,2,"Battersea","London","SW11 4ND"
"2797",2796,"Clapham Common North Side",3449600,"House",2567,5,5,5,"","London","SW4 9SD"
"2798",2797,"Coleherne Mews",4608000,"New development",2000,3,3,3,"","London","SW10 9DZ"
"2799",2798,"Maine Tower",1344000,"New development",1075,3,3,3," Canary Wharf","London","E14 9DQ"
"2800",2799,"Regency Walk",672000,"Bungalow",583,2,2,2,"Richmond","Surrey","TW10 6AU"
"2801",2800,"Pendant Court",736000,"Flat / Apartment",810,2,2,2," Newham","London","E16 2TF"
"2802",2801,"Yvon House",640000,"Flat / Apartment",536,1,1,1,"Alexandra Avenue","London","SW11 4GA"
"2803",2802,"Norton House",1017600,"Flat / Apartment",753,2,2,2,"Duke of Wellington Avenue","London","SE18 6EY"
"2804",2803,"Coborn Mews",704000,"Flat / Apartment",574,2,2,2,"Coborn Street","London","E3 2AB"
"2805",2804,"Television Centre",1580800,"Flat / Apartment",960,2,2,2,"4 Wood Crescent","London","W12 7GP"
"2806",2805,"Montagu Square",3321600,"Flat / Apartment",1452,3,3,3,"Marylebone","London","W1H 2LW"
"2807",2806,"Beech Drive",3008000,"House",5303,5,5,5," Tadworth","Surrey","KT20 6PP"
"2808",2807,"Church Path",1152000,"House",1467,3,3,3,"Bollo Bridge Road","London","W3 8AY"
"2809",2808,"Blurton Road",1632000,"House",1730,3,3,3,"","London","E5 0NH"
"2810",2809,"Prince Albert Court",3456000,"Flat / Apartment",1665,3,3,3,"33 Prince Albert Road","London","NW8 7LU"
"2811",2810,"Apex House",832000,"Flat / Apartment",798,3,3,3," Brick Lane","London","E1 6LF"
"2812",2811,"Gowrie Road",608000,"Flat / Apartment",425,1,1,1,"","London","SW11 5NR"
"2813",2812,"Landor Road",576000,"Flat / Apartment",647,1,1,1,"","London","SW9 9PH"
"2814",2813,"Queensland Road",704000,"New development",728,2,2,2,"Highbury","London","N7 7EZ"
"2815",2814,"Sigdon Road",1472000,"House",1398,3,3,3,"Hackney","London","E8 1AP"
"2816",2815,"Weston Road",761600,"Flat / Apartment",702,2,2,2,"Chiswick","London","W4 5NH"
"2817",2816,"Princes Gate",9600000,"Flat / Apartment",2290,3,3,3,"","London","SW7 1QJ"
"2818",2817,"Westover Hill",6208000,"House",5613,5,5,5,"Hampstead","London","NW3 7UH"
"2819",2818,"Rusholme Road",4089600,"House",4923,6,6,6,"Putney","London","SW15 3JX"
"2820",2819,"Ardwick Road",1017600,"New development",925,2,2,2,"Fortune Green","London","NW2 2BX"
"2821",2820,"Sudbrook Lane",3968000,"House",3080,5,5,5,"Richmond","Surrey","TW10 7AY"
"2822",2821,"Cedars Mews",2937600,"House",2454,4,4,4,"","London","SW4 0QD"
"2823",2822,"Endlesham Road",3584000,"House",2872,5,5,5,"","London","SW12 8JL"
"2824",2823,"Kingswood Road",1856000,"House",2147,3,3,3,"","London","SW19 3ND"
"2825",2824,"Althorp Road",3776000,"New development",3336,6,6,6,"","London","SW17 7ED"
"2826",2825,"Homestead Road",8e+05,"Flat / Apartment",537,2,2,2,"Fulham","London","SW6 7DB"
"2827",2826,"Chaucer Road",1280000,"House",1502,3,3,3,"","London","W3 6DP"
"2828",2827,"Eltham Court",736000,"New development",800,2,2,2," West Ealing","London","W13 8RA"
"2829",2828,"High Street",1401600,"House",1885,4,4,4,"Esher","Surrey","KT10 9QA"
"2830",2829,"Moira Court",544000,"Flat / Apartment",590,2,2,2,"Balham High Road","London","SW17 7AQ"
"2831",2830,"Hannaford Walk",447993.6,"Flat / Apartment",486,1,1,1,"","London","E3 3TF"
"2832",2831,"Purcell Mansions",1408000,"Flat / Apartment",1335,3,3,3," Barons Court","Fulham","W14 9TP"
"2833",2832,"Godolphin Road",2304000,"House",2366,4,4,4,"","London","W12 8JN"
"2834",2833,"Poplar Grove",1344000,"Flat / Apartment",958,2,2,2,"","London","W6 7RF"
"2835",2834,"Fulham Park Gardens",2048000,"Flat / Apartment",1763,4,4,4,"Fulham","London","SW6 4JZ"
"2836",2835,"Lonsdale Road",5760000,"House",3908,6,6,6,"Barnes","London","SW13 9JS"
"2837",2836,"Grosvenor Gardens",1401600,"House",1838,4,4,4,"Woodford Green","Essex","IG8 0AR"
"2838",2837,"Dolben Court",1536000,"Flat / Apartment",1083,2,2,2,"Montaigne Close","London","SW1P 4BB"
"2839",2838,"Kingston House South",3193600,"Flat / Apartment",1753,3,3,3,"Ennismore Gardens","London","SW7 1NF"
"2840",2839,"Cabul Road",1632000,"House",1750,4,4,4,"Battersea","London","SW11 2PN"
"2841",2840,"Dalmeny Court",1920000,"Flat / Apartment",798,2,2,2," St. James's","London","SW1Y 6BL"
"2842",2841,"Shirland Road",768000,"Flat / Apartment",630,2,2,2,"Maida Vale","London","W9 2EL"
"2843",2842,"Randolph Avenue",1408000,"Flat / Apartment",908,2,2,2,"","London","W9 1PF"
"2844",2843,"Grand Drive",736000,"House",971,3,3,3,"Raynes Park","London","SW20 9DG"
"2845",2844,"Mandalay Road",1184000,"Flat / Apartment",893,2,2,2,"Clapham","London","SW4 9EE"
"2846",2845,"Manor Road",1913600,"House",2433,4,4,4," Loughton","Essex","IG10 4AD"
"2847",2846,"Southwell Gardens",6080000,"Flat / Apartment",2500,3,3,3,"","London","SW7 4SB"
"2848",2847,"Napier Road",2560000,"House",2189,3,3,3,"","London","W14 8LQ"
"2849",2848,"Battersea Bridge Road",1023936,"Flat / Apartment",1040,2,2,2,"","Battersea","SW11 3AS"
"2850",2849,"Fielding Road",1664000,"House",1347,3,3,3,"Chiswick","London","W4 1DB"
"2851",2850,"Schubert Road",1408000,"Flat / Apartment",2043,4,4,4,"Putney","London","SW15 2QS"
"2852",2851,"Great Eastern Street",1536000,"Flat / Apartment",890,1,1,1,"","London","EC2A 3EP"
"2853",2852,"Nottingham Place",11840000,"House",5139,4,4,4,"","London","W1U 5LU"
"2854",2853,"Rivermead",1918720,"House",3238,5,5,5,"East Molesey","Surrey","KT8 9AZ"
"2855",2854,"The Heights",608000,"Flat / Apartment",977,3,3,3," Watford","Hertfordshire","WD19 4PU"
"2856",2855,"Mallinson Road",1184000,"Flat / Apartment",944,2,2,2,"","London","SW11 1BP"
"2857",2856,"Addisland Court",1856000,"Flat / Apartment",961,2,2,2,"Holland Villas Road","London","W14 8DA"
"2858",2857,"Fitzgerald Road",2553600,"House",3443,5,5,5,"Thames Ditton","Surrey","KT7 0TU"
"2859",2858,"Ashburn Gardens",2809600,"Flat / Apartment",1623,3,3,3,"","London","SW7 4DG"
"2860",2859,"Bazalgette Court",704000,"Flat / Apartment",797,2,2,2,"Great West Road","London","W6 9AG"
"2861",2860,"Waldemar Avenue",2496000,"House",2054,5,5,5,"Bishops Park","Fulham","SW6 5LU"
"2862",2861,"Deodar Road",1760000,"House",1360,3,3,3,"Putney","London","SW15 2NJ"
"2863",2862,"Thirsk Road",1023998.72,"Flat / Apartment",1090,2,2,2,"","London","SW11 5SU"
"2864",2863,"Boyd Building",563200,"Flat / Apartment",847,2,2,2,"10 Frobisher Yard","London","E16 2GY"
"2865",2864,"Nottingham Place",4480000,"Flat / Apartment",1956,3,3,3,"Marylebone","London","W1U 5NH"
"2866",2865,"Craig Tower",608000,"Flat / Apartment",895,2,2,2," Bow","London","E3 4EF"
"2867",2866,"Cavendish Road",1056000,"Flat / Apartment",1312,3,3,3,"Brondesbury","London","NW6 7XP"
"2868",2867,"Meadowbank",4480000,"House",2956,5,5,5,"Primrose Hill","London","NW3 3AY"
"2869",2868,"Hillbrow",1216000,"Flat / Apartment",1239,3,3,3,"","Richmond Hill","TW10 6BH"
"2870",2869,"Draycott Place",3520000,"Flat / Apartment",1474,3,3,3,"","London","SW3 2SB"
"2871",2870,"Mogul Building",8e+05,"Flat / Apartment",928,2,2,2," Stratford","London","E15 1FY"
"2872",2871,"Boat Race House",1657600,"New development",1487,2,2,2,"63 Mortlake High Street","London","SW14 8HL"
"2873",2872,"West Hill Road",3776000,"House",2995,5,5,5,"Putney","London","SW18 1LE"
"2874",2873,"Porchester Road",1151993.6,"Flat / Apartment",834,2,2,2,"Notting Hill","London","W2 5DP"
"2875",2874,"Alvington Crescent",1664000,"House",1907,4,4,4,"Hackney","London","E8 2NW"
"2876",2875,"Elizabeth Mews",1913600,"House",1020,2,2,2,"Belsize Park","London","NW3 4UH"
"2877",2876,"Keble Place",1017600,"Flat / Apartment",922,2,2,2,"Barnes","London","SW13 8HL"
"2878",2877,"Chiswick Quay",1856000,"House",2106,4,4,4,"Chiswick","London","W4 3UR"
"2879",2878,"Sugden Road",1017600,"Flat / Apartment",860,2,2,2,"","London","SW11 5ED"
"2880",2879,"Barmouth Road",979200,"Flat / Apartment",993,2,2,2,"Wandsworth","London","SW18 2DT"
"2881",2880,"Vicarage Drive",2752000,"House",2309,5,5,5,"","London","SW14 8RX"
"2882",2881,"Ivory House",1056000,"Flat / Apartment",616,1,1,1,"East Smithfield","London","E1W 1AT"
"2883",2882,"Pond Place",12160000,"House",4277,4,4,4,"","London","SW3 6QJ"
"2884",2883,"Knivet Road",2016000,"House",1703,4,4,4," Fulham","London","SW6 1JJ"
"2885",2884,"Paget Place",2016000,"House",2514,4,4,4,"Kingston upon Thames","Surrey","KT2 7HZ"
"2886",2885,"Wandsworth Road",1728000,"House",1900,4,4,4,"","London","SW8 3JF"
"2887",2886,"Hans Crescent",2624000,"Flat / Apartment",1003,2,2,2,"","London","SW1X 0LJ"
"2888",2887,"Beaufort Gardens",2559936,"Flat / Apartment",802,2,2,2,"","London","SW3 1PS"
"2889",2888,"Pond Street",1120000,"Flat / Apartment",943,2,2,2,"Hampstead","London","NW3 2PS"
"2890",2889,"Glenburnie Road",1632000,"House",1445,3,3,3,"","London","SW17 7NE"
"2891",2890,"Barrowgate Road",3648000,"House",2833,5,5,5,"Chiswick","London","W4 4QU"
"2892",2891,"Bath Road",4480000,"House",3775,7,7,7,"Bedford Park","London","W4 1LJ"
"2893",2892,"Stanlake Road",2400000,"House",2618,5,5,5,"","London","W12 7HG"
"2894",2893,"Bridge Street",2688000,"House",2139,5,5,5,"Chiswick","London","W4 5UF"
"2895",2894,"Abbey Lodge",4800000,"Flat / Apartment",2315,4,4,4," St John's Wood","London","NW8 7RJ"
"2896",2895,"Blomfield Road",3136000,"Flat / Apartment",1289,2,2,2,"Little Venice","London","W9 2PD"
"2897",2896,"Arena Tower",637440,"Flat / Apartment",554,1,1,1," Canary Wharf","London","E14 9TA"
"2898",2897,"Oxborough House",755200,"Flat / Apartment",795,2,2,2,"33 Eltringham Street","London","SW18 1GS"
"2899",2898,"Clerkenwell Road",1152000,"Flat / Apartment",756,2,2,2,"","London","EC1M 5PY"
"2900",2899,"Cranley Gardens",1529600,"Flat / Apartment",850,1,1,1,"","London","SW7 3DD"
"2901",2900,"Courtfield Gardens",2809600,"Flat / Apartment",1268,2,2,2,"","London","SW5 0PD"
"2902",2901,"Bassein Park Road",3072000,"House",3029,6,6,6,"","London","W12 9RZ"
"2903",2902,"Park Mansions",1088000,"Flat / Apartment",975,3,3,3," Battersea","London","SW11 4HQ"
"2904",2903,"Palace Road",5440000,"House",6632,7,7,7,"East Molesey","Surrey","KT8 9DN"
"2905",2904,"Manor House",1312000,"Flat / Apartment",1070,3,3,3," Marylebone","London","NW1 5NP"
"2906",2905,"Balcombe Street",665600,"Flat / Apartment",411,1,1,1,"Marylebone","London","NW1 6HD"
"2907",2906,"Charlwood Road",2496000,"House",2158,3,3,3,"Putney","London","SW15 1PW"
"2908",2907,"Corinthia Residences",11456000,"New development",2956,3,3,3,"10 Whitehall Place","London","SW1A 2BD"
"2909",2908,"Crane Grove",1023936,"House",686,2,2,2,"","London","N7 8LE"
"2910",2909,"Lansdowne Drive",1657600,"House",1364,3,3,3,"Hackney","London","E8 3ER"
"2911",2910,"Winterdown Road",992000,"House",1149,2,2,2,"Esher","Surrey","KT10 8LJ"
"2912",2911,"Dartmouth Terrace",524800,"Flat / Apartment",547,1,1,1,"Blackheath","London","SE10 8AX"
"2913",2912,"Embassy Works",8e+05,"Flat / Apartment",541,1,1,1,"10-12 Lawn Lane","London","SW8 1UD"
"2914",2913,"Dance Square",832000,"Flat / Apartment",571,1,1,1,"","London","EC1V 3AN"
"2915",2914,"Beacon Tower",761600,"Flat / Apartment",735,2,2,2,"1 Spectrum Way","London","SW18 4GL"
"2916",2915,"Tamarind Court",3392000,"New development",1191,2,2,2,"Stone Hall Gardens","London","W8 5UP"
"2917",2916,"Wandsworth Common West Side",3200000,"House",2882,6,6,6,"Wandsworth","London","SW18 2ED"
"2918",2917,"Queenstown Road",1216000,"House",1661,4,4,4,"Battersea","London","SW8 3QD"
"2919",2918,"Fladgate House",1049600,"New development",797,1,1,1,"","4 Circus Road West","SW11 8EU"
"2920",2919,"Heath Rise",1568000,"Flat / Apartment",2056,3,3,3," Putney","London","SW15 3HF"
"2921",2920,"Pembridge Villas",2297600,"Flat / Apartment",1118,2,2,2,"Notting Hill","London","W11 3EL"
"2922",2921,"The Woodlands",1280000,"House",1666,3,3,3,"Esher","Surrey","KT10 8DD"
"2923",2922,"Holroyd Road",2937600,"House",2899,4,4,4,"Putney","London","SW15 6LN"
"2924",2923,"Campden Hill Court",6400000,"Flat / Apartment",2248,4,4,4,"Campden Hill Road","London","W8 7HX"
"2925",2924,"Campion Road",3705600,"House",3414,6,6,6,"Putney","London","SW15 6NN"
"2926",2925,"Rutland Gate",1280000,"Flat / Apartment",728,2,2,2,"","London","SW7 1BH"
"2927",2926,"Highbury New Park",8e+05,"Flat / Apartment",825,2,2,2,"","London","N5 2DJ"
"2928",2927,"Freeland Road",3840000,"House",4088,6,6,6,"Ealing","London","W5 3HR"
"2929",2928,"Edge Hill",5056000,"New development",4438,5,5,5,"Wimbledon","London","SW19 4NP"
"2930",2929,"Gorst Road",3838720,"House",3295,6,6,6,"","London","SW11 6JE"
"2931",2930,"Gloucester Street",1235200,"Flat / Apartment",925,2,2,2,"Pimlico","London","SW1V 2DB"
"2932",2931,"Byfeld Gardens",2560000,"House",2127,4,4,4,"Barnes","London","SW13 9HP"
"2933",2932,"Montagu Mews West",6400000,"House",2332,4,4,4,"","Marylebone","W1H 2EE"
"2934",2933,"Marryat Place",4416000,"New development",3802,5,5,5,"Wimbledon","London","SW19 5BL"
"2935",2934,"Callow Street",1145600,"Flat / Apartment",555,1,1,1,"","London","SW3 6BJ"
"2936",2935,"Oxshott",6400000,"House",7879,6,6,6,"","Surrey","KT22 0QB"
"2937",2936,"Stanley Grove",1401600,"House",1256,4,4,4,"","London","SW8 3PB"
"2938",2937,"West Eaton Place Mews",7232000,"House",2753,4,4,4,"Belgravia","London","SW1X 8LY"
"2939",2938,"Foyle Road",3609600,"New development",3900,5,5,5,"Blackheath","London","SE3 7RH"
"2940",2939,"Worple Avenue",2880000,"House",2835,5,5,5,"Wimbledon","London","SW19 4JQ"
"2941",2940,"Speldhurst Road",1856000,"House",1667,4,4,4,"South Hackney","London","E9 7EH"
"2942",2941,"City Road",896000,"Flat / Apartment",997,2,2,2,"","London","EC1V 2NR"
"2943",2942,"Exchange Building",2368000,"Penthouse",1836,2,2,2," Spitalfields","London","E1 6NQ"
"2944",2943,"Doughty Street",3840000,"House",3325,7,7,7,"Bloomsbury","London","WC1N 2AA"
"2945",2944,"Boundaries Road",1952000,"House",2232,5,5,5,"","London","SW12 8HG"
"2946",2945,"Hatton Wall",1728000,"Penthouse",1117,2,2,2,"Clerkenwell","London","EC1N 8JJ"
"2947",2946,"Dallington Street",8e+05,"Flat / Apartment",636,1,1,1,"Clerkenwell","London","EC1V 0DB"
"2948",2947,"Marville Road",2112000,"House",1576,4,4,4,"Fulham","London","SW6 7BB"
"2949",2948,"Inverness Street",576000,"Flat / Apartment",500,1,1,1,"Camden","London","NW1 7HB"
"2950",2949,"Telford Terrace",2080000,"House",1372,4,4,4,"","London","SW1V 3AE"
"2951",2950,"The Drive",1280000,"House",1528,4,4,4,"","Northwood","HA6 1HW"
"2952",2951,"Rosebery Avenue",1088000,"Flat / Apartment",848,2,2,2,"Clerkenwell","London","EC1R 4UL"
"2953",2952,"Spencer Road",3193600,"House",3609,6,6,6,"","Twickenham","TW2 5TH"
"2954",2953,"Chiswick Quay",2880000,"House",2469,4,4,4,"","London","W4 3UR"
"2955",2954,"Hamilton Terrace",5056000,"House",2803,5,5,5,"St. John's Wood","London","NW8 9UG"
"2956",2955,"Surrey Square",2240000,"House",2396,5,5,5,"","London","SE17 2JX"
"2957",2956,"Newcastle House",1529600,"Flat / Apartment",678,1,1,1," Marylebone","London","W1U 5BR"
"2958",2957,"Magdalen Road",832000,"Flat / Apartment",1077,2,2,2,"Wandsworth","London","SW18 3NY"
"2959",2958,"Perrymead Street",3840000,"House",3027,5,5,5," Parsons Green","London","SW6 3SN"
"2960",2959,"Ceram Court",704000,"Flat / Apartment",960,2,2,2," Bow","London","E3 3GW"
"2961",2960,"Bristol House",1280000,"Flat / Apartment",659,1,1,1,"67 Lower Sloane Street","London","SW1W 8DD"
"2962",2961,"Park Square East",12736000,"House",4876,6,6,6,"Regent's Park","London","NW1 4LH"
"2963",2962,"Chelsea Square",15296000,"House",4785,5,5,5,"","London","SW3 6LH"
"2964",2963,"Trefoil Road",1920000,"House",2123,5,5,5,"Wandsworth","London","SW18 2EQ"
"2965",2964,"Leathwaite Road",767998.72,"Flat / Apartment",665,2,2,2,"","London","SW11 1XG"
"2966",2965,"Nevern Square",1273600,"Flat / Apartment",1021,2,2,2,"","London","SW5 9NN"
"2967",2966,"Plender Street",672000,"Flat / Apartment",565,1,1,1,"Camden","London","NW1 0LB"
"2968",2967,"Ebury Street",3065600,"Flat / Apartment",1190,3,3,3,"","London","SW1W 0PA"
"2969",2968,"Abingdon Court",2688000,"Flat / Apartment",1367,3,3,3," Kensington","London","W8 6BS"
"2970",2969,"Geraldine Road",1024000,"Flat / Apartment",1044,2,2,2,"Wandsworth","London","SW18 2NT"
"2971",2970,"Glenalmond House",1132800,"Flat / Apartment",1113,3,3,3," Putney","London","SW15 3LP"
"2972",2971,"Howards Lane",3065600,"House",2881,5,5,5,"Putney","London","SW15 6NZ"
"2973",2972,"Maitland Court",2150400,"Flat / Apartment",1502,3,3,3," Paddington","London","W2 3PD"
"2974",2973,"Thornton Avenue",2560000,"House",2178,4,4,4,"Chiswick","London","W4 1QF"
"2975",2974,"Corney Reach Way",1504000,"House",1752,3,3,3,"Chiswick","London","W4 2TY"
"2976",2975,"Fulham Park Gardens",3008000,"House",2720,6,6,6,"Fulham","London","SW6 4JX"
"2977",2976,"Bute Avenue",5376000,"House",4591,6,6,6,"Richmond","Surrey","TW10 7AX"
"2978",2977,"Chepstow Road",1984000,"Flat / Apartment",1227,2,2,2,"Notting Hill","London","W2 5BH"
"2979",2978,"St. Dionis Road",3200000,"House",2314,4,4,4," Fulham","London","SW6 4TT"
"2980",2979,"Weststand Apartments",889600,"Flat / Apartment",871,2,2,2,"Highbury Stadium Square","London","N5 1FH"
"2981",2980,"Harefield",992000,"House",1368,3,3,3,"Esher","Surrey","KT10 9TG"
"2982",2981,"Philbeach Gardens",6336000,"House",4622,6,6,6,"","London","SW5 9EB"
"2983",2982,"Philbeach Gardens",2297600,"Flat / Apartment",1402,4,4,4,"","London","SW5 9DY"
"2984",2983,"Wandsworth Common West Side",3264000,"House",2665,5,5,5,"Wandsworth","London","SW18 2ED"
"2985",2984,"Oyster Wharf",723200,"Flat / Apartment",711,2,2,2," Battersea","London","SW11 3RJ"
"2986",2985,"Block A",3200000,"Flat / Apartment",1950,3,3,3,"50 Holland Street","London","SE1 9FU"
"2987",2986,"East Hill",1132800,"Flat / Apartment",920,2,2,2,"Wandsworth","London","SW18 2HG"
"2988",2987,"Sefton Street",511936,"New development",362,1,1,1,"Putney","London","SW15 1NA"
"2989",2988,"Darwin Court",1145600,"Flat / Apartment",1013,2,2,2," Primrose Hill","London","NW1 7BQ"
"2990",2989,"North Side Wandsworth Common",704000,"Flat / Apartment",654,2,2,2,"","London","SW18 2SL"
"2991",2990,"Airedale Road",1856000,"House",2270,4,4,4,"","London","SW12 8SF"
"2992",2991,"Television Centre",1484800,"New development",861,2,2,2,"101 Wood Lane","London","W12 7FT"
"2993",2992,"Atrium Apartments",3200000,"Flat / Apartment",1227,2,2,2," St John's Wood","London","NW8 7EA"
